book_title,author,publisher,pub_year,isbn,country
10년 후의 일상,편석준,레드우드,2016.0,9791195332472,한국
1인가구 특별동거법,이재은,걷는 사람,2021.0,9791191262674,한국
2023 제1회 군산초단편문학상 수상작품집,"양준서, 이동은, 이은미, 진상용",프로파간다,2023.0,9788998143824,한국
2024 제2회 군산초단편문학상 수상작품집,"김도란, 김란, 서윤, 양서토, 양휘호",프로파간다,2024.0,9788998143893,한국
5분 소설,김재성,이담북스,2020.0,9791166030109,한국
5월 75전,최서해,더플래닛,2023.0,9788967916237,한국
LOSER 루저,J.moonriver,메이킹북스,2021.0,9791191472042,한국
sex in the wit,김근평,키메이커,2018.0,9791163472469,한국
ㅋㅋㅋ,장주원,문학세계사,2014.0,9788970755878,한국
가짜와 진짜,김승옥,보랏빛소,2018.0,9791187856528,한국
거짓말 삽니다,"강물, 구자명, 구준회, 김의규, 김정묘, 김진초, 김혁, 남명희, 배명희, 안영실, 양동혁, 윤신숙, 이목연, 이성우, 이진훈, 이현신, 임나라, 정성환, 정이수, 정혜영, 최서윤",나무와숲,2016.0,9788993632583,한국
고향,현진건,더플래닛,2021.0,9788967915469,한국
공공연한 고양이,"강지영, 김멜라, 김선영, 박민정, 양원영, 이나경, 조남주, 조예은, 최은영",자음과모음,2019.0,9788954440189,한국
구두,김동인,더플래닛,2020.0,9788967915148,한국
그 길 나를 곁눈질 하다,"구준회, 김민효, 김병언, 김은경, 김의규, 김정묘, 김진초, 노순자, 박종윤, 배명희, 백경훈, 서지원, 심아진, 안영실, 유경숙, 윤신숙, 이목연, 이시백, 임상태, 임왕준, 최서윤, 최옥정, 황충상",우리글,2012.0,9788964260586,한국
그녀의 꽃,"구자명, 김의규",우리글,2011.0,9788964260432,한국
그렇게 하루해가 갔다,김근평,키메이커,2021.0,9791165699208,한국
글쓰기,나종혁,도서출판DRM연구원,2020.0,9791190188166,한국
금,김유정,더플래닛,2021.0,9788967915452,한국
길을 걷다가 넘어지면 사랑,썸머,문장과장면들,2024.0,9791193474051,한국
